number,player_name,team_text,category
001,Rayan Ait-Nouri,Algeria,CAF
002,Riyad Mahrez,Algeria,CAF
003,Ramy Bensebaini,Algeria,CAF
004,Youcef Atal,Algeria,CAF
005,Aissa Mandi,Algeria,CAF
006,Nabil Bentaleb,Algeria,CAF
007,Said Benrahma,Algeria,CAF
008,Amine Gouiri,Algeria,CAF
009,Mohamed Amoura,Algeria,CAF
010,Baghdad Bounedjah,Algeria,CAF
011,Julian Alvarez,Argentina,CONMEBOL
012,Lionel Messi,Argentina,CONMEBOL
013,Emiliano Martinez,Argentina,CONMEBOL
014,Nahuel Molina,Argentina,CONMEBOL
015,Cristian Romero,Argentina,CONMEBOL
016,Nicolas Otamendi,Argentina,CONMEBOL
017,Enzo Fernandez,Argentina,CONMEBOL
018,Alexis Mac Allister,Argentina,CONMEBOL
019,Rodrigo De Paul,Argentina,CONMEBOL
020,Lautaro Martinez,Argentina,CONMEBOL
021,Harry Souttar,Australia,AFC
022,Mathew Ryan,Australia,AFC
023,Alessandro Circati,Australia,AFC
024,Jordan Bos,Australia,AFC
025,Jackson Irvine,Australia,AFC
026,Riley McGree,Australia,AFC
027,Aiden O'Neill,Australia,AFC
028,Connor Metcalfe,Australia,AFC
029,Craig Goodwin,Australia,AFC
030,Milos Degenek,Australia,AFC
031,Marko Arnautovic,Austria,UEFA
032,David Alaba,Austria,UEFA
033,Alexander Schlager,Austria,UEFA
034,Kevin Danso,Austria,UEFA
035,Philipp Lienhart,Austria,UEFA
036,Konrad Laimer,Austria,UEFA
037,Nicolas Seiwald,Austria,UEFA
038,Marcel Sabitzer,Austria,UEFA
039,Christoph Baumgartner,Austria,UEFA
040,Michael Gregoritsch,Austria,UEFA
041,Youri Tielemans,Belgium,UEFA
042,Kevin De Bruyne,Belgium,UEFA
043,Thibaut Courtois,Belgium,UEFA
044,Arthur Theate,Belgium,UEFA
045,Timothy Castagne,Belgium,UEFA
046,Maxim De Cuyper,Belgium,UEFA
047,Amadou Onana,Belgium,UEFA
048,Jeremy Doku,Belgium,UEFA
049,Charles De Ketelaere,Belgium,UEFA
050,Leandro Trossard,Belgium,UEFA
051,Romelu Lukaku,Belgium,UEFA
052,Marquinhos,Brazil,CONMEBOL
053,Vinicius Junior,Brazil,CONMEBOL
054,Alisson,Brazil,CONMEBOL
055,Danilo,Brazil,CONMEBOL
056,Eder Militao,Brazil,CONMEBOL
057,Gabriel Magalhaes,Brazil,CONMEBOL
058,Casemiro,Brazil,CONMEBOL
059,Bruno Guimaraes,Brazil,CONMEBOL
060,Rodrygo,Brazil,CONMEBOL
061,Matheus Cunha,Brazil,CONMEBOL
062,Raphinha,Brazil,CONMEBOL
063,Jonathan David,Canada,CONCACAF
064,Alphonso Davies,Canada,CONCACAF
065,Dayne St. Clair,Canada,CONCACAF
066,Derek Cornelius,Canada,CONCACAF
067,Stephen Eustaquio,Canada,CONCACAF
068,Ismael Kone,Canada,CONCACAF
069,Jonathan Osorio,Canada,CONCACAF
070,Jacob Shaffelburg,Canada,CONCACAF
071,Tajon Buchanan,Canada,CONCACAF
072,Cyle Larin,Canada,CONCACAF
073,Ryan Mendes,Cape Verde,CAF
074,Logan Costa,Cape Verde,CAF
075,Vozinha,Cape Verde,CAF
076,Steven Moreira,Cape Verde,CAF
077,Joao Paulo,Cape Verde,CAF
078,Kevin Pina,Cape Verde,CAF
079,Jamiro Monteiro,Cape Verde,CAF
080,Yannick Semedo,Cape Verde,CAF
081,Jovane Cabral,Cape Verde,CAF
082,Dailon Livramento,Cape Verde,CAF
083,Luis Diaz,Colombia,CONMEBOL
084,James Rodriguez,Colombia,CONMEBOL
085,Camilo Vargas,Colombia,CONMEBOL
086,Davinson Sanchez,Colombia,CONMEBOL
087,Yerry Mina,Colombia,CONMEBOL
088,Daniel Munoz,Colombia,CONMEBOL
089,Jefferson Lerma,Colombia,CONMEBOL
090,Richard Rios,Colombia,CONMEBOL
091,Juan Fernando Quintero,Colombia,CONMEBOL
092,Jhon Arias,Colombia,CONMEBOL
093,Luis Suarez,Colombia,CONMEBOL
094,Ivan Perisic,Croatia,UEFA
095,Luka Modric,Croatia,UEFA
096,Dominik Livakovic,Croatia,UEFA
097,Duje Caleta-Car,Croatia,UEFA
098,Josko Gvardiol,Croatia,UEFA
099,Josip Stanisic,Croatia,UEFA
100,Mateo Kovacic,Croatia,UEFA
101,Lovro Majer,Croatia,UEFA
102,Mario Pasalic,Croatia,UEFA
103,Ante Budimir,Croatia,UEFA
104,Andrej Kramaric,Croatia,UEFA
105,Leandro Bacuna,Curacao,CONCACAF
106,Eloy Room,Curacao,CONCACAF
107,Sherel Floranus,Curacao,CONCACAF
108,Armando Obispo,Curacao,CONCACAF
109,Livano Comenencia,Curacao,CONCACAF
110,Juninho Bacuna,Curacao,CONCACAF
111,Kenji Gorre,Curacao,CONCACAF
112,Sontje Hansen,Curacao,CONCACAF
113,Jearl Margaritha,Curacao,CONCACAF
114,Roshon van Eijma,Curacao,CONCACAF
115,Moises Caicedo,Ecuador,CONMEBOL
116,Enner Valencia,Ecuador,CONMEBOL
117,Hernan Galindez,Ecuador,CONMEBOL
118,Piero Hincapie,Ecuador,CONMEBOL
119,Pervis Estupinan,Ecuador,CONMEBOL
120,Willian Pacho,Ecuador,CONMEBOL
121,Angelo Preciado,Ecuador,CONMEBOL
122,Joel Ordonez,Ecuador,CONMEBOL
123,Alan Franco,Ecuador,CONMEBOL
124,Gonzalo Plata,Ecuador,CONMEBOL
125,Kendry Paez,Ecuador,CONMEBOL
126,Omar Marmoush,Egypt,CAF
127,Mohamed Salah,Egypt,CAF
128,Mohamed El Shenawy,Egypt,CAF
129,Mohamed Hany,Egypt,CAF
130,Mohamed Abdelmonem,Egypt,CAF
131,Ramy Rabia,Egypt,CAF
132,Marwan Attia,Egypt,CAF
133,Zizo,Egypt,CAF
134,Hamdy Fathy,Egypt,CAF
135,Mostafa Mohamed,Egypt,CAF
136,Trezeguet,Egypt,CAF
137,Jude Bellingham,England,UEFA
138,Harry Kane,England,UEFA
139,Jordan Pickford,England,UEFA
140,Reece James,England,UEFA
141,John Stones,England,UEFA
142,Declan Rice,England,UEFA
143,Jordan Henderson,England,UEFA
144,Phil Foden,England,UEFA
145,Bukayo Saka,England,UEFA
146,Cole Palmer,England,UEFA
147,Marcus Rashford,England,UEFA
148,Ousmane Dembele,France,UEFA
149,Kylian Mbappe,France,UEFA
150,Mike Maignan,France,UEFA
151,William Saliba,France,UEFA
152,Jules Kounde,France,UEFA
153,Theo Hernandez,France,UEFA
154,Aurelien Tchouameni,France,UEFA
155,Eduardo Camavinga,France,UEFA
156,Bradley Barcola,France,UEFA
157,Marcus Thuram,France,UEFA
158,Randal Kolo Muani,France,UEFA
159,Jamal Musiala,Germany,UEFA
160,Joshua Kimmich,Germany,UEFA
161,Marc-Andre ter Stegen,Germany,UEFA
162,Antonio Rudiger,Germany,UEFA
163,Jonathan Tah,Germany,UEFA
164,Felix Nmecha,Germany,UEFA
165,Leon Goretzka,Germany,UEFA
166,Florian Wirtz,Germany,UEFA
167,Serge Gnabry,Germany,UEFA
168,Kai Havertz,Germany,UEFA
169,Leroy Sane,Germany,UEFA
170,Thomas Partey,Ghana,CAF
171,Mohammed Kudus,Ghana,CAF
172,Lawrence Ati-Zigi,Ghana,CAF
173,Alidu Seidu,Ghana,CAF
174,Alexander Djiku,Ghana,CAF
175,Gideon Mensah,Ghana,CAF
176,Fatawu Issahaku,Ghana,CAF
177,Kamaldeen Sulemana,Ghana,CAF
178,Jordan Ayew,Ghana,CAF
179,Antoine Semenyo,Ghana,CAF
180,Frantzdy Pierrot,Haiti,CONCACAF
181,Duckens Nazon,Haiti,CONCACAF
182,Johnny Placide,Haiti,CONCACAF
183,Ricardo Ade,Haiti,CONCACAF
184,Carlens Arcus,Haiti,CONCACAF
185,Hannes Delcroix,Haiti,CONCACAF
